times1_sh;times1_mh;times1_lh;wind_speed_10m_sh;wind_speed_10m_mh;wind_speed_10m_lh;wind_direction_10m_sh;wind_direction_10m_mh;wind_direction_10m_lh;air_pressure_at_sea_level_sh;air_pressure_at_sea_level_mh;air_pressure_at_sea_level_lh;air_temperature_2m_sh;air_temperature_2m_mh;air_temperature_2m_lh;times2_sh;times2_mh;times2_lh;specific_convective_available_potential_energy_sh;specific_convective_available_potential_energy_mh;specific_convective_available_potential_energy_lh;atmosphere_convective_inhibition_sh;atmosphere_convective_inhibition_mh;atmosphere_convective_inhibition_lh
1577836800.0;1577858400.0;1577880000.0;15.544692039489746;15.544560432434082;16.22097396850586;238.47372436523438;223.88763427734375;214.30551147460938;102011.3125;101649.625;101329.0625;281.38323974609375;280.9436950683594;281.3541259765625;1577836800.0;1577858400.0;1577880000.0;14.171875;1.1953125;0.359375;1000.0000610351562;1000.0022583007812;1000.0012817382812
1577840400.0;1577862000.0;1577883600.0;15.417495727539062;15.23646068572998;15.987323760986328;240.41143798828125;222.87838745117188;221.26031494140625;101956.5625;101631.875;101299.375;281.41619873046875;281.0482177734375;281.4881896972656;1577840400.0;1577862000.0;1577883600.0;10.359375;0.6875;0.6796875;1000.0001220703125;1000.0071411132812;1000.001708984375
1577844000.0;1577865600.0;1577887200.0;14.696176528930664;15.1639404296875;15.868934631347656;239.58987426757812;216.9242401123047;222.61270141601562;101912.125;101576.375;101262.9375;281.3297424316406;281.0920104980469;281.5754699707031;1577844000.0;1577865600.0;1577887200.0;9.703125;0.28125;1.109375;1000.0009765625;999.9944458007812;1000.0014038085938
1577847600.0;1577869200.0;1577890800.0;14.240063667297363;15.391029357910156;15.53757095336914;236.56185913085938;212.33546447753906;214.8876190185547;101840.4375;101522.3125;101165.625;281.2846374511719;281.1729736328125;281.5514831542969;1577847600.0;1577869200.0;1577890800.0;13.28515625;0.421875;1.30859375;1000.0023803710938;1000.0008544921875;1000.0021362304688
1577851200.0;1577872800.0;1577894400.0;14.843214988708496;15.638501167297363;15.693178176879883;234.2790985107422;220.78955078125;212.19937133789062;101771.1875;101536.3125;101137.125;281.2716064453125;281.2828063964844;281.6156921386719;1577851200.0;1577872800.0;1577894400.0;17.98828125;0.34375;0.1015625;1000.0018920898438;1000.0013427734375;1000.0001220703125
1577854800.0;1577876400.0;1577898000.0;15.264070510864258;15.991515159606934;15.81915283203125;225.1075897216797;219.30845642089844;212.72750854492188;101699.0625;101450.8125;101111.125;280.9464416503906;281.29736328125;281.6649169921875;1577854800.0;1577876400.0;1577898000.0;3.625;0.15625;0.5625;1000.0000610351562;1000.0003662109375;1000.000244140625
1577858400.0;1577880000.0;1577901600.0;15.255831718444824;16.291053771972656;16.068758010864258;223.5081024169922;213.85177612304688;215.01763916015625;101629.25;101390.1875;101070.625;281.1855163574219;281.3890686035156;281.76593017578125;1577858400.0;1577880000.0;1577901600.0;0.0;0.3203125;0.21875;1000.0001831054688;1000.0001220703125;1000.0000610351562
1577862000.0;1577883600.0;1577905200.0;15.22351360321045;16.003541946411133;16.088455200195312;221.32823181152344;216.62820434570312;213.13829040527344;101627.75;101291.0625;100987.75;281.1739807128906;281.461669921875;281.68634033203125;1577862000.0;1577883600.0;1577905200.0;0.06640625;1.265625;0.0;1000.0023803710938;1000.00048828125;1000.0
1577865600.0;1577887200.0;1577908800.0;15.205904960632324;16.296768188476562;15.800939559936523;215.87928771972656;220.84359741210938;209.8929443359375;101585.1875;101272.0625;100937.125;281.1788024902344;281.5528259277344;281.6612854003906;1577865600.0;1577887200.0;1577908800.0;0.359375;0.8125;0.0;1000.0033569335938;1000.000244140625;1000.0001220703125
1577869200.0;1577890800.0;1577912400.0;15.91397762298584;16.013572692871094;16.270708084106445;211.16261291503906;217.9137420654297;207.73260498046875;101517.375;101181.6875;100856.0625;281.2301330566406;281.62249755859375;281.5425109863281;1577869200.0;1577890800.0;1577912400.0;0.21875;1.0078125;5.859375;1000.0;1000.0011596679688;1000.0
1577872800.0;1577894400.0;1577916000.0;16.040903091430664;15.616568565368652;16.59947395324707;216.25140380859375;217.13766479492188;207.02040100097656;101528.625;101156.1875;100754.1875;281.3379821777344;281.7355041503906;281.4466857910156;1577872800.0;1577894400.0;1577916000.0;0.21875;0.0;0.0;1000.000244140625;1000.0004272460938;1000.0001220703125
1577876400.0;1577898000.0;1577919600.0;16.348278045654297;16.121381759643555;16.845867156982422;221.07701110839844;219.06478881835938;206.64404296875;101516.1875;101118.6875;100671.3125;281.3718566894531;281.7901306152344;281.5979309082031;1577876400.0;1577898000.0;1577919600.0;0.8203125;0.1953125;0.0;1000.0001220703125;1000.0004272460938;1000.000244140625
1577880000.0;1577901600.0;1577923200.0;16.291053771972656;16.068758010864258;16.742889404296875;213.85177612304688;215.01763916015625;201.4004364013672;101390.1875;101070.625;100517.375;281.3890686035156;281.76593017578125;281.5306091308594;1577858400.0;1577880000.0;1577901600.0;0.0;0.3203125;0.21875;1000.0001831054688;1000.0001220703125;1000.0000610351562
1577883600.0;1577905200.0;1577926800.0;16.003541946411133;16.088455200195312;17.105628967285156;216.62820434570312;213.13829040527344;202.98858642578125;101291.0625;100987.75;100386.75;281.461669921875;281.68634033203125;281.4741516113281;1577862000.0;1577883600.0;1577905200.0;0.06640625;1.265625;0.0;1000.0023803710938;1000.00048828125;1000.0
1577887200.0;1577908800.0;1577930400.0;16.296768188476562;15.800939559936523;17.26394271850586;220.84359741210938;209.8929443359375;204.65545654296875;101272.0625;100937.125;100241.1875;281.5528259277344;281.6612854003906;281.49957275390625;1577865600.0;1577887200.0;1577908800.0;0.359375;0.8125;0.0;1000.0033569335938;1000.000244140625;1000.0001220703125
1577890800.0;1577912400.0;1577934000.0;16.013572692871094;16.270708084106445;17.853561401367188;217.9137420654297;207.73260498046875;207.18157958984375;101181.6875;100856.0625;100142.375;281.62249755859375;281.5425109863281;281.6137390136719;1577869200.0;1577890800.0;1577912400.0;0.21875;1.0078125;5.859375;1000.0;1000.0011596679688;1000.0
1577894400.0;1577916000.0;1577937600.0;15.616568565368652;16.59947395324707;17.855911254882812;217.13766479492188;207.02040100097656;207.6405487060547;101156.1875;100754.1875;100057.5625;281.7355041503906;281.4466857910156;281.7237243652344;1577872800.0;1577894400.0;1577916000.0;0.21875;0.0;0.0;1000.000244140625;1000.0004272460938;1000.0001220703125
1577898000.0;1577919600.0;1577941200.0;16.121381759643555;16.845867156982422;18.193634033203125;219.06478881835938;206.64404296875;208.16127014160156;101118.6875;100671.3125;99976.0;281.7901306152344;281.5979309082031;281.7924499511719;1577876400.0;1577898000.0;1577919600.0;0.8203125;0.1953125;0.0;1000.0001220703125;1000.0004272460938;1000.000244140625
